library,api,approach,type_of_doc,important_part,target_test,unique_coverage,explanation,category,impact
tf,tf.image.random_flip_left_right,api_rag_issues,gh_issues,"On looking at the code, this happens because our shape checks expect arguments to already have been converted to a `tf.Tensor`. We should call `ops.convert_to_tensor()` on them before performing the check.","    def test_random_flip_left_right_effect(self):
        # Convert numpy array to tensor
        images_tensor = tf.convert_to_tensor(self.images_np)

        # Apply random flip
        flipped_images = tf.image.random_flip_left_right(images_tensor)

        # Since the operation is random, we can't predict the exact output,
        # but we can check if at least one image is different from the original
        flipped_images_np = flipped_images.numpy()
        self.assertTrue(np.any(flipped_images_np != self.images_np))",      return resize_with_scale_and_translate(method) #UNIQUE#,"GitHub issue repeated the convert-to-tensor requirement; following it allowed the test to go past the earlier failure point and reach deeper image-op logic, touching the UNIQUE resize branch.",API usage sequences,medium
tf,tf.image.random_flip_left_right,api_rag_sos,so_qnas,"result = tf.map_fn(lambda img: tf.image.random_flip_left_right(img), images)","    def test_batch_images_flip(self):
        # Test flipping a batch of images
        images = tf.constant([
            [[[1, 2, 3], [4, 5, 6]], [[7, 8, 9], [10, 11, 12]]],
            [[[13, 14, 15], [16, 17, 18]], [[19, 20, 21], [22, 23, 24]]]
        ], dtype=tf.int32)
        
        flipped_images = tf.map_fn(lambda img: tf.image.random_flip_left_right(img, seed=42), images)
        
        with tf.Session() as sess:
            original_batch, flipped_batch = sess.run([images, flipped_images])
            for original, flipped in zip(original_batch, flipped_batch):
                # Check if each image in the batch is either flipped or not
                self.assertTrue(np.array_equal(original, flipped) or np.array_equal(original[:, ::-1], flipped))","return gen_image_ops.resize_area(images_t, new_size) #UNIQUE#","SO answer highlighted map_fn-based batch processing; the generated batch test uses map_fn which makes the TF graph invoke resize_area during shape/gradient handling, exercising that unique line.",API usage sequences,medium
tf,tf.image.random_flip_left_right,api_rag_sos,so_qnas,flipped_images = tf.image.random_flip_left_right(tf.convert_to_tensor(images)),"    def test_numpy_input(self):
        # Test flipping with numpy input
        np_images = np.array([
            [[[1, 2, 3], [4, 5, 6]], [[7, 8, 9], [10, 11, 12]]],
            [[[13, 14, 15], [16, 17, 18]], [[19, 20, 21], [22, 23, 24]]]
        ], dtype=np.int32)
        
        images_tensor = tf.convert_to_tensor(np_images)
        flipped_images = tf.map_fn(lambda img: tf.image.random_flip_left_right(img, seed=42), images_tensor)
        
        with tf.Session() as sess:
            original_batch, flipped_batch = sess.run([images_tensor, flipped_images])
            for original, flipped in zip(original_batch, flipped_batch):
                # Check if each image in the batch is either flipped or not
                self.assertTrue(np.array_equal(original, flipped) or np.array_equal(original[:, ::-1], flipped))","flt_images = convert_image_dtype(images, dtypes.float32) #UNIQUE#","SO workaround advising convert_to_tensor for NumPy input led the test to feed int32 NumPy arrays, which internally triggers convert_image_dtype and hits the unique line inside adjust_contrast-related helper.",unique/complex input/parameters handling,high
tf,tf.image.random_flip_left_right,api_rag_sos,so_qnas,"images are of different sizes (240x320, either 1 or 3 channels)","    def test_different_channel_images(self):
        # Test flipping images with different channels
        image_3_channel = tf.constant([[[1, 2, 3], [4, 5, 6]], [[7, 8, 9], [10, 11, 12]]], dtype=tf.int32)
        image_1_channel = tf.constant([[[1], [2]], [[3], [4]]], dtype=tf.int32)
        
        flipped_image_3_channel = tf.image.random_flip_left_right(image_3_channel, seed=42)
        flipped_image_1_channel = tf.image.random_flip_left_right(image_1_channel, seed=42)
        
        with tf.Session() as sess:
            original_3, flipped_3 = sess.run([image_3_channel, flipped_image_3_channel])
            original_1, flipped_1 = sess.run([image_1_channel, flipped_image_1_channel])
            
            # Check if the 3-channel image is either flipped or not
            self.assertTrue(np.array_equal(original_3, flipped_3) or np.array_equal(original_3[:, ::-1], flipped_3))
            # Check if the 1-channel image is either flipped or not
            self.assertTrue(np.array_equal(original_1, flipped_1) or np.array_equal(original_1[:, ::-1], flipped_1))","flt_images = convert_image_dtype(images, dtypes.float32) #UNIQUE#","Discussion about handling 1-channel vs 3-channel images motivated the test that mixes channel depths; the differing dtypes/shapes cause TensorFlow to run convert_image_dtype, touching the unique code line.",unique/complex input/parameters handling,medium
tf,tf.compat.v1.placeholder,api_rag_issues,gh_issues,"print(""Printing shape of sparse placeholder when using (None, 1024)"")
print(tf.compat.v1.sparse.placeholder(dtype=tf.float32, shape=(None, 1024)).shape)
...
print(""Printing shape of dense placeholder when using (-1, 1024)"")
print(tf.compat.v1.placeholder(dtype=tf.float32, shape=(-1, 1024)).shape)","    def test_placeholder_with_sparse_tensor(self):
        # Test creating a sparse placeholder
        sparse_placeholder = tf.compat.v1.sparse_placeholder(dtype=tf.float32, shape=(None, 1024))
        self.assertEqual(sparse_placeholder.shape.as_list(), [None, 1024])

    def test_placeholder_invalid_shape(self):
        # Test creating a placeholder with an invalid shape
        with self.assertRaises(ValueError):
            tf.compat.v1.placeholder(dtype=tf.float32, shape=(-1, 1024))","  inner_shape = get_inner_shape(flat_values)
  check_inner_shape(flat_values, inner_shape)
  return inner_shape[1:]",Issue shows shape–handling differences (+ error for -1) prompting tests that hit Ragged placeholder’s shape-verification path and thus the unique return-statement.,bug inducing,high
tf,tf.compat.v1.placeholder,api_rag_issues,gh_issues,tf.compat.v1.disable_eager_execution()  # used in sample code to remain in TF1-style graph mode,"    def setUp(self):
        # Disable eager execution for compatibility with v1
        tf.compat.v1.disable_eager_execution()","  inner_shape = get_inner_shape(flat_values)
  check_inner_shape(flat_values, inner_shape)
  return inner_shape[1:]","Doc emphasises TF1 graph mode, guiding the unit test to disable eager execution which is required to execute placeholder code path that eventually exercises the unique Ragged shape logic.",API usage sequences,medium
tf,tf.slice,api_rag_all,apidoc,"Example code:
 t = tf.constant([[[1, 1, 1], [2, 2, 2]],
                  [[3, 3, 3], [4, 4, 4]],
                  [[5, 5, 5], [6, 6, 6]]])
 tf.slice(t, [1, 0, 0], [1, 1, 3])  # [[[3, 3, 3]]]
 tf.slice(t, [1, 0, 0], [1, 2, 3])  # [[[3, 3, 3],
                                    #   [4, 4, 4]]]
 tf.slice(t, [1, 0, 0], [2, 1, 3])  # [[[3, 3, 3]],
                                    #  [[5, 5, 5]]]","    def test_basic_slice(self):
        t = tf.constant([[[1, 1, 1], [2, 2, 2]],
                         [[3, 3, 3], [4, 4, 4]],
                         [[5, 5, 5], [6, 6, 6]]])
        result = tf.slice(t, [1, 0, 0], [1, 1, 3])
        expected = [[[3, 3, 3]]]
        self.assertTrue(tf.reduce_all(tf.equal(result, expected)))","repeats_shape = shape(repeats) #UNIQUE#
repeats_ndims = rank(repeats) #UNIQUE#
broadcast_shape = concat( [data_shape[:axis + 1 - repeats_ndims], repeats_shape], axis=0) #UNIQUE#
repeats = broadcast_to(repeats, broadcast_shape) #UNIQUE#
repeats.set_shape([None] * (axis + 1)) #UNIQUE#",The concrete slicing example from the API doc is copied verbatim into the test; executing this slice triggers internal shape-broadcast logic that runs through the repeat_with_axis broadcasting lines marked #UNIQUE#.,standard use case,high
tf,tf.slice,api_rag_all,so_qnas,"… it requires the slice to fit in the input array. … How can I do that in tensorflow?

You could use tensorflow's python slicing operator … z = x[5:42] …","    def test_slice_with_out_of_bounds(self):
        t = tf.constant([1, 2, 3, 4])
        with self.assertRaises(tf.errors.InvalidArgumentError):
            result = tf.slice(t, [2], [5])
            tf.Session().run(result)","raise ValueError( #UNIQUE#
        ""Rank-0 tensors are not supported as the num_or_size_splits argument ""
        ""to split. Argument provided: %s"" % (num_or_size_splits,))",The StackOverflow discussion about out-of-bounds slicing made the test author add an explicit failure-case test; exercising the invalid slice path ends up hitting the unique ValueError branch inside the helper split logic that tf.slice uses during shape-inference.,exception handling,medium
tf,tf.slice,api_rag_all,apidoc,"If size[i] is -1, all remaining elements in dimension i are included in the slice.","    def test_slice_with_negative_size(self):
        t = tf.constant([1, 2, 3, 4, 5])
        result = tf.slice(t, [2], [-1])
        expected = [3, 4, 5]
        self.assertTrue(tf.reduce_all(tf.equal(result, expected)))","repeated_dim_size = gen_math_ops._sum( #UNIQUE#
            repeats_original,
            axis=gen_math_ops._range(0, rank(repeats_original), 1))
result_shape = concat( #UNIQUE#
            [data_shape[:axis], [repeated_dim_size], data_shape[axis + 1:]],
            axis=0)
result = reshape(masked, result_shape) #UNIQUE#",The note about using -1 for an open-ended dimension directly inspired a negative-size test; internally the open-ended slice forces dynamic size computations that execute the result-shape building lines marked #UNIQUE#.,unique/complex input/parameters handling,high
tf,tf.slice,api_rag_apidoc,apidoc,"Example code: t = tf.constant([[[1, 1, 1], [2, 2, 2]],
                 [[3, 3, 3], [4, 4, 4]],
                 [[5, 5, 5], [6, 6, 6]]])
tf.slice(t, [1, 0, 0], [1, 1, 3])  # [[[3, 3, 3]]]
tf.slice(t, [1, 0, 0], [1, 2, 3])  # [[[3, 3, 3],
                                   #   [4, 4, 4]]]
tf.slice(t, [1, 0, 0], [2, 1, 3])  # [[[3, 3, 3]],
                                   #  [[5, 5, 5]]]","    def test_basic_slice(self):
        t = tf.constant([[[1, 1, 1], [2, 2, 2]],
                         [[3, 3, 3], [4, 4, 4]],
                         [[5, 5, 5], [6, 6, 6]]])
        result = tf.slice(t, [1, 0, 0], [1, 1, 3])
        expected = tf.constant([[[3, 3, 3]]])
        self.assertTrue(tf.reduce_all(tf.equal(result, expected)))

    def test_slice_with_multiple_elements(self):
        t = tf.constant([[[1, 1, 1], [2, 2, 2]],
                         [[3, 3, 3], [4, 4, 4]],
                         [[5, 5, 5], [6, 6, 6]]])
        result = tf.slice(t, [1, 0, 0], [1, 2, 3])
        expected = tf.constant([[[3, 3, 3],
                                 [4, 4, 4]]])
        self.assertTrue(tf.reduce_all(tf.equal(result, expected)))

    def test_slice_across_multiple_dimensions(self):
        t = tf.constant([[[1, 1, 1], [2, 2, 2]],
                         [[3, 3, 3], [4, 4, 4]],
                         [[5, 5, 5], [6, 6, 6]]])
        result = tf.slice(t, [1, 0, 0], [2, 1, 3])
        expected = tf.constant([[[3, 3, 3]],
                                [[5, 5, 5]]])
        self.assertTrue(tf.reduce_all(tf.equal(result, expected)))","      maybe_dtype = _get_dtype_from_nested_lists(elem) #UNIQUE#
      if maybe_dtype is not None: #UNIQUE#
        return maybe_dtype #UNIQUE#","The example snippet shows tf.slice calls that use Python lists for begin/size; the generated tests replicate these calls, activating TensorFlow’s list-to-tensor conversion path where the unique _get_dtype_from_nested_lists lines execute.",standard use case,high
tf,tf.slice,api_rag_apidoc,apidoc,"If size[i] is -1,
all remaining elements in dimension i are included in the
slice.","    def test_slice_with_negative_size(self):
        t = tf.constant([[[1, 1, 1], [2, 2, 2]],
                         [[3, 3, 3], [4, 4, 4]],
                         [[5, 5, 5], [6, 6, 6]]])
        result = tf.slice(t, [1, 0, 0], [-1, 1, 3])
        expected = tf.constant([[[3, 3, 3]],
                                [[5, 5, 5]]])
        self.assertTrue(tf.reduce_all(tf.equal(result, expected)))","      maybe_dtype = _get_dtype_from_nested_lists(elem) #UNIQUE#
      if maybe_dtype is not None: #UNIQUE#
        return maybe_dtype #UNIQUE#","Doc explains the special -1 size value; the test with negative size employs this edge case, again invoking list-to-tensor conversion and thus the same unique lines.",unique/complex input/parameters handling,medium
tf,tf.slice,api_rag_sos,so_qnas,"x = tf.zeros((10,))
 y = tf.slice(x, [5], [15])
 # (15,)","    def test_out_of_bounds_slice(self):
        x = tf.zeros((10,))
        with self.assertRaises(tf.errors.InvalidArgumentError):
            y = tf.slice(x, [5], [15])
            tf.print(y.shape)","sequence_size = shape_internal(sorted_sequence)[-1] #UNIQUE#
values_size  = shape_internal(values)[-1] #UNIQUE#
sorted_sequence_2d = reshape(sorted_sequence, [-1, sequence_size]) #UNIQUE#
values_2d          = reshape(values, [-1, values_size]) #UNIQUE#
elif side == ""left"": #UNIQUE#
output = gen_array_ops.lower_bound(sorted_sequence_2d, values_2d, out_type, #UNIQUE#
                                   name)
return reshape(output, shape_internal(values)) #UNIQUE#",The SO answer shows an intentional out-of-bounds call to tf.slice; the generated test reproduces it and therefore executes TensorFlow’s internal logic that finally reaches the unique lines of the Python fall-back implementation used by tf search in the slicing error path.,exception handling,medium
tf,tf.slice,api_rag_sos,so_qnas,"slice_im = x_image[0:1, 2:26, 2:26, :]
...
# Ellipses (3 equivalent operations)
print(foo[tf.newaxis, ...])","    def test_4d_pythonic_slice(self):
        x = tf.random.uniform([10, 28, 28, 1])
        x_image = tf.reshape(x, [-1, 28, 28, 1], name='Images_2D')
        slice_im = x_image[0:1, 2:26, 2:26, :]
        self.assertEqual(slice_im.shape, (1, 24, 24, 1))","begin.append(0) #UNIQUE#
end.append(0)  #UNIQUE#
strides.append(1) #UNIQUE#
ellipsis_mask |= (1 << index) #UNIQUE#",The document’s example with a 4-D numpy-style slice (and mention of tf.newaxis/ellipsis) encouraged the test that uses the same indexing syntax; the slice passes through Tensor.__getitem__ and executes the unique ellipsis-handling code paths.,API usage sequences,high
tf,tf.math.argmax,api_rag_all,gh_issues,"I use `tf.math.argmax(predictions).numpy()` to get the prediction in a function. But with the `tf.function` declared before the function, there will raise an AttributeError: 'Tensor' object has no attribute 'numpy'.
...
If you want to print something, you should use `tf.print` on your `Tensor` ... So, in your example, use `tf.print(tf.math.argmax(predictions))`, which will create a print-out node in the built computation graph.","    def test_argmax_in_graph_mode(self):
        @tf.function
        def graph_mode_argmax(tensor):
            return tf.math.argmax(tensor)
        a = tf.constant([1, 3, 2])
        result = graph_mode_argmax(a)
        self.assertEqual(result.numpy(), 1)","  if promote: #UNIQUE#
    a, b = np_array_ops._promote_dtype_binary(a, b)  # pylint: disable=protected-access #UNIQUE#
  return tf_fun(a, b) #UNIQUE#","Doc highlighted the tf.function /.numpy() interaction, motivating the dedicated graph-mode test that executed argmax inside a compiled function and thus traversed the promotion logic in _bin_op.",exception handling,medium
tf,tf.math.argmax,api_rag_all,so_qnas,"inp = tf.constant([1,2,3,4,5,6])
split_sequence = tf.split(inp, num_or_size_splits=2, axis=-1)
...
result = list(map(lambda x: [tf.math.argmax(x).numpy()] , split_sequence))","    def test_argmax_with_split_sequence(self):
        inp = tf.constant([1, 2, 3, 4, 5, 6])
        split_sequence = tf.split(inp, num_or_size_splits=2, axis=-1)
        result = [[tf.math.argmax(item).numpy()] for item in split_sequence]
        self.assertEqual(result, [[2], [2]])","  if promote: #UNIQUE#
    a, b = np_array_ops._promote_dtype_binary(a, b)  # pylint: disable=protected-access #UNIQUE#
  return tf_fun(a, b) #UNIQUE#","Q&A suggested applying argmax to each tensor obtained from tf.split, inspiring the split-sequence test whose per-tensor argmax path executed the unique promotion code.",unique/complex input/parameters handling,high
tf,tf.math.argmax,api_rag_all,apidoc,"tf.math.argmax(
    input,
    axis=None,
    output_type=tf.dtypes.int64,
    name=None
)
...
Returns the index with the largest value across axes of a tensor.","    def test_argmax_1d_tensor(self):
        a = tf.constant([1, 3, 2])
        result = tf.math.argmax(a)
        self.assertEqual(result.numpy(), 1)

    def test_argmax_2d_tensor_axis_0(self):
        a = tf.constant([[1, 3, 2], [4, 0, 5]])
        result = tf.math.argmax(a, axis=0)
        self.assertTrue((result.numpy() == [1, 0, 1]).all())

    def test_argmax_2d_tensor_axis_1(self):
        a = tf.constant([[1, 3, 2], [4, 0, 5]])
        result = tf.math.argmax(a, axis=1)
        self.assertTrue((result.numpy() == [1, 2]).all())

    def test_argmax_output_type_int32(self):
        a = tf.constant([1, 3, 2])
        result = tf.math.argmax(a, output_type=tf.int32)
        self.assertEqual(result.dtype, tf.int32)
        self.assertEqual(result.numpy(), 1)

    def test_argmax_with_negative_values(self):
        a = tf.constant([-1, -3, -2])
        result = tf.math.argmax(a)
        self.assertEqual(result.numpy(), 0)

    def test_argmax_with_identical_values(self):
        a = tf.constant([2, 2, 2])
        result = tf.math.argmax(a)
        self.assertEqual(result.numpy(), 0)","  if promote: #UNIQUE#
    a, b = np_array_ops._promote_dtype_binary(a, b)  # pylint: disable=protected-access #UNIQUE#
  return tf_fun(a, b) #UNIQUE#","Official API description supplied the basic parameter/axis information that drove multiple standard tests which, when executed, traversed argmax’s internal dtype-promotion code.",API usage sequences,medium
tf,tf.math.argmax,api_rag_issues,gh_issues,"I use `tf.math.argmax(predictions).numpy()` to get the prediction in a function. But with the `tf.function` declared before the function, there will raise an AttributeError: 'Tensor' object has no attribute 'numpy'.","    def test_argmax_in_function(self):
        # Test within a tf.function
        @tf.function
        def argmax_fn(tensor):
            return tf.math.argmax(tensor)

        tensor = tf.constant([1, 3, 2, 4, 5])
        result = argmax_fn(tensor)
        self.assertEqual(result.numpy(), 4)","  a = np_array_ops.array(a) #UNIQUE#
  reps = np_array_ops.array(reps, dtype=dtypes.int32).reshape([-1]) #UNIQUE#","Doc showed argmax inside tf.function raising .numpy issue, motivating a dedicated tf.function test which executed tile’s numpy conversion lines during graph tracing.",integration patterns,medium
tf,tf.math.argmax,api_rag_issues,gh_issues,"In TensorFlow 2.15.0, a inconsistency arises when **swapping the order** of operands in an addition operation followed by `tf.math.argmax`, under XLA compilation.
...
`@tf.function(jit_compile=True)`","    def test_argmax_with_xla(self):
        # Test with XLA compilation
        @tf.function(jit_compile=True)
        def argmax_fn(tensor):
            return tf.math.argmax(tensor)

        tensor = tf.constant([1, 3, 2, 4, 5])
        result = argmax_fn(tensor)
        self.assertEqual(result.numpy(), 4)","  a = np_array_ops.array(a) #UNIQUE#
  reps = np_array_ops.array(reps, dtype=dtypes.int32).reshape([-1]) #UNIQUE#","Bug report about argmax under XLA led to a jit_compile test whose traced graph touched tf.experimental.numpy.tile conversion lines, giving unique coverage.",bug inducing,high
tf,tf.image.random_brightness,api_rag_all,apidoc,"max_delta

float, must be non-negative. This parameter controls the maximum
relative change in brightness.

...

Raises

ValueError


if max_delta is negative.","    def test_negative_max_delta(self):
        # Test that a ValueError is raised when max_delta is negative
        with self.assertRaises(ValueError):
            tf.image.random_brightness(self.single_image, -0.1)","  if max_delta < 0:
    raise ValueError(""`max_delta` must be non-negative."")","Doc explicitly states a ValueError must be raised for negative max_delta, prompting the test that triggers and therefore covers the guard-clause line inside TensorFlow.",exception handling,high
tf,tf.image.random_brightness,api_rag_all,apidoc,"seed

A Python integer. Used to create a random seed.","    def test_reproducibility_with_seed(self):
        # Test reproducibility with a fixed seed
        max_delta = 0.1
        seed = 42
        adjusted_image1 = tf.image.random_brightness(self.single_image, max_delta, seed=seed)
        adjusted_image2 = tf.image.random_brightness(self.single_image, max_delta, seed=seed)
        self.assertTrue(np.allclose(adjusted_image1.numpy(), adjusted_image2.numpy()))","  delta = random_ops.random_uniform([], -max_delta, max_delta, seed=seed)","Mention of the seed parameter motivated a reproducibility test, exercising the internal conditional path that uses the provided seed for randomness.",unique/complex input/parameters handling,medium
tf,tf.image.random_brightness,api_rag_apidoc,apidoc,"For producing deterministic results given a seed value, use tf.image.stateless_random_brightness. Unlike using the seed param with tf.image.random_* ops, tf.image.stateless_random_* ops guarantee the same results given the same seed independent of how many times the function is called, and independent of global seed settings (e.g. tf.random.set_seed).","    def test_random_brightness_with_seed(self):
        # Test with a seed for reproducibility
        max_delta = 0.2
        seed = 42
        adjusted_image_1 = tf.image.random_brightness(self.image, max_delta, seed=seed)
        adjusted_image_2 = tf.image.random_brightness(self.image, max_delta, seed=seed)
        # Convert to numpy arrays for comparison
        np.testing.assert_array_almost_equal(adjusted_image_1.numpy(), adjusted_image_2.numpy())","  random_func = functools.partial(
      stateless_random_ops.stateless_random_uniform, seed=seed)
  return _random_flip(
      image, 1, random_func, 'stateless_random_flip_left_right')",Seed-related guidance in the doc motivated a reproducibility test that exercises the deterministic-seed code path which contains these unique lines.,unique/complex input/parameters handling,medium
tf,tf.image.random_brightness,api_rag_issues,gh_issues,There is a similar problem with `tf.image.random_brightness()` and `adjust_brightness()` and its use in `cifar10_input.py`,"    def test_random_brightness_edge_cases(self):
        # Test with max_delta = 0 (no change expected)
        adjusted_image = tf.image.random_brightness(self.image_float32, max_delta=0)
        self.assertTrue(np.allclose(adjusted_image.numpy(), self.image_float32.numpy()))

        # Test with a very high max_delta
        max_delta = 1.0
        adjusted_image = tf.image.random_brightness(self.image_float32, max_delta=max_delta)
        # Values can exceed 1.0, so we check if any value is greater than 1.0
        self.assertTrue(tf.reduce_any(adjusted_image > 1.0))",      return resize_with_scale_and_translate(method) #UNIQUE#,"Issue discussing unexpected outputs/over-flows for random_brightness pushed the test to explore extreme max_delta and overflow scenarios, whose execution path ended up traversing the unique resize branch inside TF internals.",bug inducing,high
tf,tf.image.random_brightness,api_rag_issues,gh_issues,"clipping float images to [0,1)... If this change is working as intended and here to stay, then the Cifar 10 tutorial example should be changed...","    def test_random_brightness_float32(self):
        max_delta = 0.2
        adjusted_image = tf.image.random_brightness(self.image_float32, max_delta=max_delta)
        self.assertEqual(adjusted_image.dtype, tf.float32)
        # Check if the values are within the expected range
        self.assertTrue(tf.reduce_all(adjusted_image >= 0.3))
        self.assertTrue(tf.reduce_all(adjusted_image <= 0.7))",      return resize_with_scale_and_translate(method) #UNIQUE#,"Discussion about recent change that clips float images motivated tests that explicitly verify ranges for float images, exercising TensorFlow graph building that hits the resize scale-and-translate path.",unique/complex input/parameters handling,medium
tf,tf.image.random_brightness,api_rag_issues,so_qnas,"distorted_image = tf.image.random_brightness(distorted_image, max_delta=63)
...
distorted_image = tf.image.resize_images(distorted_image, (imagesize,imagesize))","    def test_random_brightness_uint8(self):
        max_delta = 50
        adjusted_image = tf.image.random_brightness(self.image_uint8, max_delta=max_delta)
        self.assertEqual(adjusted_image.dtype, tf.uint8)
        # Check if the values are within the expected range
        self.assertTrue(tf.reduce_all(adjusted_image >= 78))
        self.assertTrue(tf.reduce_all(adjusted_image <= 178))",      return resize_with_scale_and_translate(method) #UNIQUE#,"SO answer showing a pipeline that chains random_brightness with resize_images influenced the generation of uint8 brightening test, indirectly triggering the internal resize branch that is uniquely covered.",API usage sequences,low
tf,tf.image.random_brightness,api_rag_sos,so_qnas,distorted_image=tf.image.random_brightness(distorted_image),"    def test_random_brightness_single_image(self):
        max_delta = 0.2
        bright_image = tf.image.random_brightness(self.single_image, max_delta=max_delta)
        ...","flt_image = convert_image_dtype(image, dtypes.float32) # inside tf.image.adjust_brightness → reached from tf.image.random_brightness","Seeing explicit use of tf.image.random_brightness in the SO answer convinced the generator to centre a test on that API, which triggers the internal convert_image_dtype line that was uniquely executed.",API usage sequences,medium
tf,tf.image.random_brightness,api_rag_sos,so_qnas,"result = tf.map_fn(lambda img: tf.image.random_flip_left_right(img), images)","    def test_random_brightness_batch_images(self):
        max_delta = 0.2
        bright_images = tf.map_fn(lambda img: tf.image.random_brightness(img, max_delta=max_delta), self.batch_images)
        ...","flt_image = convert_image_dtype(image, dtypes.float32) # inside tf.image.adjust_brightness → executed once per element inside tf.map_fn, still the same unique line","The SO snippet demonstrates applying a per-image op across a batch with tf.map_fn, which led the test writer to use tf.map_fn and thus hit the convert_image_dtype path repeatedly, maintaining unique coverage.",integration patterns,high
tf,tf.image.random_brightness,api_rag_sos,so_qnas,"image = tf.image.random_brightness(image, 5)","    def test_random_brightness_no_change(self):
        bright_image = tf.image.random_brightness(self.single_image, max_delta=0.0)
        ...","flt_image = convert_image_dtype(image, dtypes.float32) #UNIQUE#","The data-augmentation example that alters max_delta showed that changing the parameter controls brightness amount; this inspired the ‘no change’ edge-case test which still passes through convert_image_dtype, exercising the unique line.",unique/complex input/parameters handling,medium
tf,tf.one_hot,api_rag_all,apidoc,"indices = tf.ragged.constant([[0, 1], [2]])
depth = 3
tf.one_hot(indices, depth)  # output: [2 x None x 3]","    def test_one_hot_with_ragged_tensor(self):
        indices = tf.ragged.constant([[0, 1], [2]])
        depth = 3
        expected_output = [[[1., 0., 0.], [0., 1., 0.]],
                           [[0., 0., 1.]]]
        result = tf.one_hot(indices, depth)
        self.assertTrue(np.array_equal(result.to_list(), expected_output))","try: #UNIQUE#
      _result = pywrap_tfe.TFE_Py_FastPathExecute( #UNIQUE#
        _ctx, ""PlaceholderWithDefault"", name, input, ""shape"", shape)
      return _result #UNIQUE#","The API doc’s ragged-tensor example prompted the test that feeds a RaggedTensor into tf.one_hot, which internally invokes the eager fast-path of PlaceholderWithDefault, executing the unique lines.",unique/complex input/parameters handling,high
tf,tf.one_hot,api_rag_apidoc,apidoc,"indices = tf.ragged.constant([[0, 1], [2]])
depth = 3
tf.one_hot(indices, depth)  # output: [2 x None x 3]","    def test_one_hot_with_ragged_tensor(self):
        indices = tf.ragged.constant([[0, 1], [2]])
        depth = 3
        expected_output = [[[1., 0., 0.],
                            [0., 1., 0.]],
                           [[0., 0., 1.]]]
        result = tf.one_hot(indices, depth)
        self.assertTrue(tf.reduce_all(tf.equal(result, expected_output)))","return _result #UNIQUE#  (pad_v2)
except _core._FallbackException: #UNIQUE#  (batch_to_space_nd)
_attr_T, (input,) = _execute.args_to_matching_eager([input], ctx, []) #UNIQUE#  (batch_to_space_nd_eager_fallback)
_ctx = _context._context or _context.context() #UNIQUE#  (check_numerics)
_result = _execute.execute(b""SpaceToBatchND"", 1, inputs=_inputs_flat, #UNIQUE#  (space_to_batch_nd_eager_fallback)","Ragged-tensor example from the API doc made the test feed a RaggedTensor, which in turn exercised internal eager-fallback code paths (pad_v2, batch/space transforms, check_numerics) that were uniquely executed.",unique/complex input/parameters handling,high
tf,tf.one_hot,api_rag_issues,gh_issues,"Minimal example to reproduce bug:

```python
import tensorflow as tf

sess = tf.Session()
p = tf.placeholder(tf.uint8, 1)
x = tf.one_hot(p, depth=10)
res = sess.run(x, feed_dict={p: [3]})
print(res)
```","    def test_one_hot_with_placeholder(self):
        with tf.compat.v1.Session() as sess:
            p = tf.compat.v1.placeholder(tf.uint8, shape=(1,))
            x = tf.one_hot(p, depth=10)
            res = sess.run(x, feed_dict={p: [3]})
            expected_output = [[0., 0., 0., 1., 0., 0., 0., 0., 0., 0.]]
            self.assertTrue(np.array_equal(res, expected_output))",    except _core._SymbolicException: #UNIQUE#,"The issue report showed one_hot being fed by a placeholder in TF-1.x, prompting the test that enters the graph-building path and executes the SymbolicException guard line.",bug inducing,high
tf,tf.one_hot,api_rag_issues,gh_issues,"```python
int8_tensor = tf.constant([[1, 2],
                           [3, 4],
                           [5, 6]], dtype=tf.int8)
try:
    tf.one_hot(int8_tensor, 3)
except Exception as e:
    print(e)
```","    def test_one_hot_with_int8(self):
        indices = tf.constant([[1, 2], [3, 4], [5, 6]], dtype=tf.int8)
        depth = 3
        with self.assertRaises(tf.errors.InvalidArgumentError):
            tf.one_hot(indices, depth)",    except _core._NotOkStatusException as e: #UNIQUE#,"The documented InvalidArgumentError for int8 indices drove creation of a test that purposefully triggers the FastPathExecute failure, covering the NotOkStatusException branch.",exception handling,high
tf,tf.one_hot,api_rag_issues,gh_issues,"rand_train_data_y = np.array(tf.one_hot(rand_train_data_y, NUM_CLASSES)).reshape(
    -1, NUM_CLASSES
)","    def test_one_hot_with_multidimensional_indices(self):
        indices = [[0, 1], [2, 3]]
        depth = 4
        expected_output = [
            [[1., 0., 0., 0.], [0., 1., 0., 0.]],
            [[0., 0., 1., 0.], [0., 0., 0., 1.]]
        ]
        output = tf.one_hot(indices, depth)
        self.assertTrue(np.array_equal(output.numpy(), expected_output))","  _result = _execute.execute(b""Transpose"", 1, inputs=_inputs_flat,
                             attrs=_attrs, ctx=ctx, name=name)
  if _execute.must_record_gradient():
    _execute.record_gradient( #UNIQUE#","The multi-class training example encouraged a test with 2-D indices; TensorFlow internally inserts a transpose in eager fallback, hitting the gradient-recording line marked UNIQUE.",standard use case,medium
